"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055001","muscle cell development","22/889","204/17512",0.107843137254902,2.12435210304594,3.73547323559329,0.000709100744652838,0.0380293812404033,0.0353414513010042,"LDB3/MYOM3/NEB/PPARA/PRKD1/BCL2/SGCD/SLC8A1/TMOD1/COL14A1/CACNB4/SYNPO2L/CSRP3/OBSCN/SORBS2/CAV3/MYOM1/CTDP1/LARGE1/CACNA2D2/ATG5/HDAC9",22
"GO:0006941","striated muscle contraction","21/889","191/17512",0.109947643979058,2.16580780805541,3.74635401950605,0.000721770002648517,0.0382926149792235,0.0355860795872885,"FGF12/CTNNA3/KCNQ1/ATP1B1/PDE4B/ATP8A2/SCN3B/PRKD1/MAP2K6/TRPV4/RYR2/SGCD/SLC8A1/CACNA1C/CACNA1D/CACNA2D1/CACNB2/CSRP3/CAV3/LARGE1/NOS1AP",21
"GO:0086019","cell-cell signaling involved in cardiac conduction","7/889","31/17512",0.225806451612903,4.44805689611379,4.44348569161604,0.000764081560177863,0.039266912516063,0.0364915134341669,"KCNQ1/SCN3B/RYR2/CACNA1C/CACNA1D/CACNA2D1/CACNB2",7
"GO:0002027","regulation of heart rate","14/889","104/17512",0.134615384615385,2.65172622652938,3.90689687031593,0.000768112163085301,0.039266912516063,0.0364915134341669,"EDNRB/CTNNA3/KCNQ1/RNLS/SCN3B/RYR2/SLC8A1/CACNA1C/CACNA1D/CACNA2D1/CACNB2/SPX/CAV3/NOS1AP",14
"GO:0090659","walking behavior","8/889","40/17512",0.2,3.93970753655793,4.30441823953276,0.000771320168723517,0.039266912516063,0.0364915134341669,"ABHD12/GLRA1/HTRA2/KCNJ10/CHD7/KLHL1/CACNB4/LARGE1",8
"GO:1990778","protein localization to cell periphery","33/889","360/17512",0.0916666666666667,1.80569928758905,3.572057967914,0.000777812550288064,0.039266912516063,0.0364915134341669,"CDH2/GPC6/OLFM1/SORBS1/RAB10/MISP/DPP6/EGFR/IQSEC2/EPB41L3/PACS2/GHSR/LHFPL4/ATP1B1/ZDHHC3/TESC/SCN3B/PRKCH/PRKCZ/TTC7A/GPR158/RAP2A/RDX/CACNB2/KCNIP4/CSRP3/AMN/CAV3/MYADM/LARGE1/CACNA2D2/NRXN1/ARHGAP44",33
"GO:0061572","actin filament bundle organization","19/889","166/17512",0.114457831325301,2.25465190345183,3.75603192417486,0.00077992651531702,0.039266912516063,0.0364915134341669,"USH1C/WASF2/SORBS1/PHACTR1/LIMCH1/ESPNL/SMAD3/MET/PRKN/BAIAP2L1/SPIRE1/RAC1/RDX/SYNPO2L/BAIAP2L2/SHANK3/PDLIM1/ARHGEF10/MTSS1",19
"GO:0098815","modulation of excitatory postsynaptic potential","9/889","50/17512",0.18,3.54573678290214,4.16872416633443,0.000823655763142353,0.0410496720741856,0.0381482669244879,"NLGN1/ZMYND8/GRIN1/APP/PRKCZ/CELF4/SLC8A2/SHANK3/NRXN1",9
"GO:1990138","neuron projection extension","19/889","168/17512",0.113095238095238,2.22781080936312,3.69796769574993,0.000902396746135942,0.0442165227277655,0.0410912834685526,"OLFM1/AUTS2/GSK3B/IFRD1/MAP1B/MAPT/PRKN/PLXNA1/POU4F2/PRKCZ/DIP2B/ISLR2/CXCL12/SLIT3/USP9X/SPAG9/MAP3K13/DCLK1/SPAG6",19
"GO:0170043","non-proteinogenic amino acid biosynthetic process","5/889","16/17512",0.3125,6.15579302587177,4.7713110851655,0.000910748221798015,0.0442165227277655,0.0410912834685526,"DPYD/GAD1/GAD2/UPB1/PLOD2",5
"GO:0006814","sodium ion transport","25/889","249/17512",0.100401606425703,1.97776482758932,3.59358234553673,0.000915691230027503,0.0442165227277655,0.0410912834685526,"SLC5A10/CNGA3/EDNRB/FGF12/SLC13A4/CNNM4/GRIN1/SLC6A18/KCNQ1/CATSPER4/ATP1B1/TPCN1/TESC/SCN3B/SLC24A3/SCNN1D/SLC13A3/WNK2/SLC6A2/SLC8A2/SLC8A1/SLC22A4/SLC4A9/CAV3/SLC23A1",25
"GO:0098900","regulation of action potential","10/889","61/17512",0.163934426229508,3.22926847258847,4.03337669288875,0.000923044556335599,0.0442165227277655,0.0410912834685526,"FGF12/CTNNA3/MTNR1B/RYR2/SLC8A2/CACNA1C/CACNA2D1/KCNAB2/CAV3/NOS1AP",10
"GO:0008344","adult locomotory behavior","12/889","84/17512",0.142857142857143,2.81407681182709,3.8541018873415,0.00105522183729305,0.0494747946443169,0.0459778988907568,"FGF12/ABHD12/GLRA1/HTRA2/APP/KCNJ10/PRKN/CHD7/KLHL1/CXCL12/TMOD1/CACNB4",12
"GO:0070509","calcium ion import","12/889","84/17512",0.142857142857143,2.81407681182709,3.8541018873415,0.00105522183729305,0.0494747946443169,0.0459778988907568,"FYN/TRPV4/CXCL12/SLC8A2/SLC8A1/CACNA1A/CACNA1C/CACNA1D/CACNA2D1/CACNB2/CASR/CAV3",12
"GO:0097119","postsynaptic density protein 95 clustering","4/889","10/17512",0.4,7.87941507311586,5.03221659887264,0.00108295051106328,0.0494747946443169,0.0459778988907568,"CDH2/NLGN1/ZMYND8/NRXN1",4
"GO:0098598","learned vocalization behavior or vocal learning","4/889","10/17512",0.4,7.87941507311586,5.03221659887264,0.00108295051106328,0.0494747946443169,0.0459778988907568,"CNTNAP2/HTT/SHANK3/NRXN1",4
"GO:0099566","regulation of postsynaptic cytosolic calcium ion concentration","4/889","10/17512",0.4,7.87941507311586,5.03221659887264,0.00108295051106328,0.0494747946443169,0.0459778988907568,"ITPR1/ATP2B2/SLC8A2/CALB1",4
