"sample_id","SMARCB1","NEC-like SMARCA4 ARID1A","ALV RMS","ACC","ADC","PIT AD","CPH","EWS","ONB","SCC","NEC-like IDH2","EMB RMS","NUT","MCC","LECA","MELA","GPC","CTRL","Unknown"
"SPL-DU-00001",0.00883915132640911,0.011219700202575,0.00272093755865171,0.0091546500195841,0.83812960184393,0.0047340082968264,0.00668822378919989,0.00372055505196166,0.0147769000121522,0.013237696387957,0.0131800170673539,0.00385679326710417,0.00320763933264958,0.00456514663309658,0.00652731913038618,0.00801606795945614,0.00228872912324873,0.00271212347747342,0.0424247395199847
"SPL-DU-00003",0.0235895105936612,0.0238397498249235,0.00655716001008841,0.0228780223667999,0.0260541452902422,0.0109821162891359,0.0156390781432434,0.00920976589028756,0.0307285207062144,0.038794400361787,0.0266552079983866,0.0100916035923489,0.00696121037527676,0.0105646391911798,0.015729806456014,0.109137911281586,0.00582960079211274,0.00717600973748999,0.599581541099221
"SPL-DU-00006",0.0107675714378061,0.0118309439131214,0.00330683435376373,0.0112782718747249,0.0147144709527214,0.00574082095882848,0.00821630940394693,0.0044766464220941,0.0162463392140338,0.316750247839546,0.0151800261331631,0.00479872820149578,0.0037758234904998,0.00574375429304058,0.00911057730615416,0.0112622757189409,0.00277191772631361,0.00352928627120315,0.540499154488602
"SPL-DU-00007",0.0194578559262466,0.0252351186504978,0.00624430254874743,0.0253956758074203,0.0296352592391757,0.0103036330199226,0.0162621484476472,0.00875214362153336,0.0262015650314405,0.560623253066728,0.0228879654022585,0.00891760096123974,0.0100775219318469,0.0117653393314396,0.0150233690050027,0.0179432201357307,0.00573749179445061,0.00876510977339907,0.170771426305273
"SPL-DU-00009",0.042601204794931,0.0377076389136494,0.00981106824779888,0.03087874843,0.0403775368534519,0.0168849453927391,0.0240814850325778,0.0130502086751912,0.0540069191498877,0.0537556576402305,0.240861168928488,0.0145636652526643,0.0100869407871818,0.0156582536151289,0.0295523430240712,0.0332031005049924,0.00806083062325777,0.00971671180964294,0.315141572324116
"SPL-DU-00010",0.00371743756069087,0.931009404304192,0.00128999106925488,0.00410104120985264,0.00481449660109367,0.00213863207988628,0.00289561503924811,0.00164551104237513,0.00752084064144106,0.00504527891947527,0.00563322592853578,0.00180241771206814,0.00121522381556226,0.00207866323007665,0.00257326631805645,0.00324386661733538,0.00102038724046362,0.00120419584732048,0.0170505048230713
"SPL-DU-00011",0.0308488023944159,0.0487160699596954,0.0100949649958367,0.0651218198667202,0.0447887076976369,0.0192871215903792,0.0332235670242545,0.0144601136303853,0.0510976250780346,0.0617670041192906,0.0370697271641943,0.0145642878454663,0.0155840911580666,0.018788226898594,0.0248884996809973,0.033194092262529,0.0115050703928641,0.0272762775814458,0.437723930659193
"SPL-DU-00012",0.0404033139735522,0.0337094248692075,0.00841617244722234,0.0269871003156434,0.0361287698181933,0.0155290966593997,0.0218429506708988,0.0113872688431721,0.0469272951951936,0.049984799950954,0.0761742953239643,0.0123995875425113,0.00957518466456763,0.0142707785247967,0.0344245389887909,0.0295666382071574,0.00708679230351112,0.00860051586740042,0.516585475833863
"SPL-DU-00013",0.0191414206330743,0.0181708275753587,0.0057870870344408,0.0174590292622721,0.0220142987432382,0.0094234429642875,0.012884121345107,0.00791673349832983,0.0258233081633016,0.0284847027312786,0.024658699565027,0.00859764828370339,0.00546038579602344,0.00864573733991381,0.0144106673843629,0.407451561644969,0.00487425986774785,0.00562601356457882,0.353170054602985
"SPL-DU-00014",0.0141273851815946,0.0236508416004069,0.00483911943147974,0.016242391326923,0.0205275966870089,0.00937019038457153,0.0116780145632851,0.00649314729152067,0.712959637116432,0.0219666457956014,0.0212306374245891,0.00668872521249352,0.00476944336226106,0.00826169276095946,0.0103039917725798,0.0134096261973698,0.00413608988637925,0.00496234663387695,0.0843824773706672
"SPL-DU-00015",0.0205788925913062,0.018770216784098,0.00548747823596467,0.0176717318832683,0.0227965724012118,0.00938314666473061,0.0130254862819748,0.00752548498798996,0.0264974946760431,0.0333140651933248,0.0241697984993317,0.0082528952401789,0.00560686919441741,0.00871875214860129,0.0158412901733275,0.137792217540708,0.00469968614484795,0.00556426958865756,0.614303651770018
