"tSNE1","tSNE2","sample_id","predicted_class","confidence_score","confidence_tier","frac_na","qc_flag","dataset"
-0.965211707851347,-1.75417600735045,"SPL-DU-00056","Unknown",0.7932,"Suggestive (0.5-0.84)",0.0487229254871013,"FLAGGED","RCSI"
-11.7982435220693,11.9234556064195,"SPL-DU-00057","ACC",0.8955,"Acceptable (0.84-0.9)",0.157843210442684,"PASS","RCSI"
0.612643656518655,-8.51269593505374,"NEC1","NEC",NA,NA,NA,NA,"Jurmeister"
9.43893637904254,15.7699507310065,"SNUC1","SNUC",NA,NA,NA,NA,"Jurmeister"
17.377036052984,-12.7728477491763,"ALV_RMS1","ALV RMS",NA,NA,NA,NA,"Jurmeister"
-15.1137815877247,11.2619636910873,"ACC1","ACC",NA,NA,NA,NA,"Jurmeister"
-22.1555646855035,2.82951332667206,"ADC1","ADC",NA,NA,NA,NA,"Jurmeister"
18.6045132345074,12.856930206747,"APA1","PIT AD",NA,NA,NA,NA,"Jurmeister"
18.4339089191058,13.2581037498076,"APA2","PIT AD",NA,NA,NA,NA,"Jurmeister"
20.7074956381956,14.0947988600361,"APA3","PIT AD",NA,NA,NA,NA,"Jurmeister"
20.4278067957475,13.9317817895901,"APA4","PIT AD",NA,NA,NA,NA,"Jurmeister"
20.5652346214853,13.9422900792676,"APA5","PIT AD",NA,NA,NA,NA,"Jurmeister"
-10.1476804692324,-18.9825832397918,"APA6","PIT AD",NA,NA,NA,NA,"Jurmeister"
0.513970577217593,2.87248823957771,"APA7","PIT AD",NA,NA,NA,NA,"Jurmeister"
18.25926729349,11.1619879200435,"APA8","PIT AD",NA,NA,NA,NA,"Jurmeister"
19.5016796443286,13.5703588160907,"APA9","PIT AD",NA,NA,NA,NA,"Jurmeister"
19.1065700755393,13.1381070463769,"APA10","PIT AD",NA,NA,NA,NA,"Jurmeister"
18.2931500747746,11.2146368331235,"APA11","PIT AD",NA,NA,NA,NA,"Jurmeister"
18.6894200330695,13.8263883365862,"APA12","PIT AD",NA,NA,NA,NA,"Jurmeister"
18.5286240791542,13.6359965982658,"APA13","PIT AD",NA,NA,NA,NA,"Jurmeister"
19.3763828813794,14.7615644975023,"APA14","PIT AD",NA,NA,NA,NA,"Jurmeister"
19.3114595330598,14.3413969231761,"APA15","PIT AD",NA,NA,NA,NA,"Jurmeister"
-4.28412324838731,18.9816349802465,"CPH1","CPH",NA,NA,NA,NA,"Jurmeister"
-4.94578624621576,19.6084112736499,"CPH2","CPH",NA,NA,NA,NA,"Jurmeister"
-2.6620704816205,16.5481232517758,"CPH3","CPH",NA,NA,NA,NA,"Jurmeister"
-1.57653552963267,14.0161089991403,"CPH4","CPH",NA,NA,NA,NA,"Jurmeister"
-2.17114717243721,16.253589836071,"CPH5","CPH",NA,NA,NA,NA,"Jurmeister"
-2.73379341587637,15.7104417994074,"CPH6","CPH",NA,NA,NA,NA,"Jurmeister"
-2.58750323714332,16.2933727876246,"CPH7","CPH",NA,NA,NA,NA,"Jurmeister"
-1.42502880059786,14.6065954794846,"CPH8","CPH",NA,NA,NA,NA,"Jurmeister"
-2.36951670580751,15.4302072825525,"CPH9","CPH",NA,NA,NA,NA,"Jurmeister"
-1.90970837055591,15.2112758901889,"CPH10","CPH",NA,NA,NA,NA,"Jurmeister"
-2.23033541794776,15.6629672732979,"CPH11","CPH",NA,NA,NA,NA,"Jurmeister"
-3.22563875475884,18.3487883924888,"CPH12","CPH",NA,NA,NA,NA,"Jurmeister"
-1.29986800365337,14.3457918018971,"CPH13","CPH",NA,NA,NA,NA,"Jurmeister"
-3.98702768983081,18.6157903136232,"CPH14","CPH",NA,NA,NA,NA,"Jurmeister"
-3.20860457519509,19.2394759733101,"CPH15","CPH",NA,NA,NA,NA,"Jurmeister"
-3.61316384968018,18.7507913722922,"CPH16","CPH",NA,NA,NA,NA,"Jurmeister"
-3.86668810609358,19.4347791472948,"CPH17","CPH",NA,NA,NA,NA,"Jurmeister"
-3.725906988807,18.9846712921432,"CPH18","CPH",NA,NA,NA,NA,"Jurmeister"
-3.31675424518818,19.8127822854893,"CPH19","CPH",NA,NA,NA,NA,"Jurmeister"
